s.no,topic,title,url,labels,upvotes
862,NativeScript,Mobile App Development with NativeScript,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/nativescript,"['Paid', 'Video', 'Beginner']",1
863,NativeScript,Official NativeScript Getting Started Guide,https://docs.nativescript.org/tutorial/chapter-0,"['Free', 'Beginner']",1
864,NativeScript,NativeScript 101: A Quickstart to Building Mobile Apps,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/nativescript-101-a-quickstart-to-building-mobile-apps,"['Paid', 'Beginner']",0
865,NativeScript,Learn NativeScript,https://www.youtube.com/playlist?list=PLPwbI_iIX3aS0_AcjiIEgVoEEEUhk0Bs5,"['Free', 'Video']",0
866,Nginx,Nginx Log Analysis with ELK and Redis,https://labex.io/courses/4,"['Free', 'Beginner']",0
867,Nginx,Nginx for Developers: An Introduction,http://carrot.is/coding/nginx_introduction,['Free'],16
868,NativeScript,Introduction to NativeScript,https://www.lynda.com/JavaScript-tutorials/Introduction-NativeScript/564549/620384-4.html,"['Paid', 'Video', 'Beginner', 'Angular 2']",1
869,MySQL,Crash Course on MySQL,https://sysadmincasts.com/episodes/38-crash-course-on-mysql,"['Free', 'Video']",26
870,Nim,Nim Tutorial (official docs),https://nim-lang.org/docs/tut1.html,"['Free', 'Beginner']",3
871,Node.js,Build a Node.js Project from Scratch,http://anotheruiguy.gitbooks.io/nodeexpreslibsass_from-scratch/content/,['Free'],15
872,Node.js,Learn and Understand NodeJS,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/understand-nodejs/,"['Paid', 'Video', 'Beginner']",11
873,Node.js,"Server-side Development with NodeJS, Express and MongoDB",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/server-side-development,"['Free', 'Video']",9
874,Node.js,Node JS Tutorial for Beginners,https://www.youtube.com/playlist?list=PL4cUxeGkcC9gcy9lrvMJ75z9maRw4byYp,"['Free', 'Video']",7
875,Node.js,Node.js Basics,https://www.youtube.com/playlist?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,"['Free', 'Video', 'Beginner']",5
876,Node.js,Node Tuts,http://nodetuts.com/,"['Free', 'Video']",50
877,Node.js,The Complete Node.js Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-nodejs-developer-course-2,"['Paid', 'Video', 'Beginner', 'Node.js 9']",45
878,Node.js,Node.js Tutorial for Beginners,https://www.youtube.com/watch?v=-u-j7uqU7sI&list=PL6gx4Cwl9DGBMdkKFn3HasZnnAqVjzHn_,"['Free', 'Video']",33
879,Node.js,Code with Node: Learn by Doing,https://www.devsprout.io/code-with-node,"['Paid', 'Video', 'Advanced']",20
880,Objective-C,iOS 11 and Xcode 9 - Complete Swift 4 & Objective-C Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/ios-11-xcode-9-swift-4,"['Paid', 'Beginner']",2
881,Objective-C,Ry’s Objective-C Tutorial,http://web.archive.org/web/20161119104000/http://rypress.com:80/tutorials/objective-c/index,['Free'],1
882,Objective-C,Try Objective-C,https://www.pluralsight.com/courses/objective-c,"['Paid', 'Video']",0
883,Objective-C,Objective C Tutorial (by Derek Banas),https://www.youtube.com/watch?v=5esQqZIJ83g,"['Free', 'Video']",0
884,OCaml,Try OCaml,https://try.ocamlpro.com/,"['Free', 'Beginner']",0
885,OCaml,Learn X in Y minutes Where X = OCaml,https://learnxinyminutes.com/docs/ocaml/,['Free'],0
886,OCaml,OCaml tutorials (official docs),https://ocaml.org/learn/tutorials/,['Free'],0
887,OCaml,Unix system programming in OCaml,http://ocaml.github.io/ocamlunix/,['Free'],0
888,Nim,NIm by Example,https://nim-by-example.github.io/getting_started/,"['Free', 'Beginner']",1
889,Nim,Nim in Action,https://www.manning.com/books/nim-in-action?a_aid=hackrio,"['Paid', 'Book', 'Beginner']",1
890,Nim,Nim Basics,https://narimiran.github.io/nim-basics,"['Free', 'Beginner']",0
